,Unnamed: 0,sentence,verb,trigger_1,trigger_2,tag,label
0,2,"The EU banned Belarusian planes from the bloc's airspace to avoid flying over the ex-Soviet country ruled by Alexander Lukashenko, often dubbed ""Europe's last dictator"".",avoid,banned,flying,0 0 prevention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
1,4,EU leaders at their summit this week agreed in principle to banning Belarusian airlines from the bloc and urged EU-based carriers not to fly through Belarusian airspace.,ban,agreed,fly,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
2,6,"President Joe Biden has pledged to work with opposition Republicans on key issues, and as Democrats control the Senate by a single vote, Schumer would need backing from several Republicans to forestall a potential filibuster that could block passage of the legislation.",block,filibuster,legislation,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect 0,prevent
3,8,"Dismissing the motion against him, he said it contained ""so many absurd things that there is even no sense in answering to all of them"".",contain,absurd,answering,0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,prevent
4,10,"His centre-right coalition currently controls 45 seats in the 90-seat parliament, several MPs having left the government camp in recent months.",control,left,coalition,0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0,prevent
5,12,"Accidents in small-scale gold-mining, known locally as ""galamsey"", are common in the West African nation and President Nana Akufo-Addo has vowed a crackdown to curb its environmental damage.",curb,crackdown,damage,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0,prevent
6,15,"Ukraine, which applied to join the US-led alliance in 2008, is pressing Western powers for more support as it seeks to deter any new aggression from Moscow.",deter,support,aggression,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 effect 0 0 0,prevent
7,16,Total said it would continue to produce gas so as not to disrupt electricity supply in either country.,disrupt,produce,disrupt,0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0 0 0 0 0 0,prevent
8,17,I urge members of the Security Council and other Member States to take any steps possible to prevent a famine from occurring he said,prevent,steps,famine,0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0,prevent
9,21,Analysts warned government restrictions and the slow vaccine rollout will hamper economic recovery efforts.,hamper,rollout,recovery,0 0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0,prevent
10,22,"The leopards escaped on April 19 -- with careless cage-cleaners blamed for letting them out -- but the Hangzhou Safari Park hid the breakout for nearly three weeks to avoid bad publicity, police in the city have said.",hide,breakout,publicity,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,prevent
11,25,"These clumps of amyloid are deposited in tissues and vital organs and interfere with normal organ function, eventually causing organ deterioration.16,17 AL amyloidosis is the most common type of systemic amyloidosis.18 It frequently affects the heart, kidneys, digestive tract, liver and nervous system.16,17 Diagnosis is often delayed, and prognosis is poor due to advanced, multi-organ, particularly cardiac, involvement.",interfere,clumps,function,0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
12,26,"National Police chief Jorge Vargas identified the victim as Camilo Andres Arango, and said he was shot when a peaceful march was interrupted by men who hurled rocks at police and set fire to the Tulua Palace of Justice.",interrupt,rocks,march,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0,prevent
13,31,"Therefore, ""Uruguay is not going to request an extradition in order not to obstruct the extradition process to Italy, which is where he has committed the most serious crimes,"" he said.",obstruct,not going to request,extradition,0 0 0 0 0 prevention prevention prevention prevention 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
14,32,"Former US lawmaker John Warner, who opposed George W. Bush's Iraq troop surge and was once married to Hollywood star Elizabeth Taylor, has died at the age of 94, reports said Wednesday.",oppose,John Warner,surge,0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
15,34,"The 51-year-old Italian still has a year left in his contract, but has been at loggerheads with the cash-strapped club's Chinese owners Suning over planned cost cutting which would prevent him building the team he wants to challenge at home and in Europe.",prevent,cost cutting,team,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,prevent
16,36,"Aftershocks from the Mount Nyiragongo volcano in eastern DR Congo rattled the nearby city of Goma on Wednesday, four days after its eruption, badly damaging several buildings and prevented hundreds of residents from  fleeing and the UN to relocate some of its staff.",rattle,aftershocks,residents,prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
17,38,"Several EU countries have restricted the use of AstraZeneca's vaccine to older people, typically over 55 or 60.",restrict,countries,vaccine,0 0 prevention 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,prevent
18,40,The move has been seen as part of efforts to shield the increasingly unpopular ruling United Russia party from real competition ahead of parliamentary elections in September.,shield,move,competition,0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,prevent
19,41,"""It would be unwise for us to take actions that might slow the recovery prematurely by trying to stay ahead of inflation, when our best estimate is that we are not far behind.""",slow,actions,recovery,0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
20,49,Thousands of Australian Rules football fans were told to self-isolate and get tested for coronavirus Wednesday after an infected spectator attended a match in Melbourne and the city raced to avoid another lockdown.,avoid,self-isolate,lockdown,0 0 0 0 0 0 0 0 0 prevention prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
21,50,"Britain plans to ban sales of petrol and diesel vehicles from 2030, as it aims for net zero carbon emissions by 2050.",ban,plans,sales,0 prevention 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
