,Unnamed: 0,sentence,trigger1,trigger2,tag,label
0,0," ,The government of France has passed a law to increase the number of renewable energy sources, in an effort to reduce carbon emissions.",increase,reduce,0 0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
1,1,",The government of Germany has passed a law to increase the number of public parks and green spaces, in an effort to improve air quality.",increase,improve,0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
2,2,",The government of Japan has passed a law to increase the number of public safety measures, in an effort to reduce crime.",increase,reduce,0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
3,3,",The government of China has passed a law to increase the number of educational opportunities, in an effort to reduce inequality.",increase,reduce,0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
4,4,",The government of Brazil has passed a law to increase the number of job training programs, in an effort to reduce unemployment.",increase,reduce,0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
5,5,",The government of Mexico has passed a law to increase the number of public transportation options, in an effort to reduce traffic congestion.",increase,reduce,0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
6,6,"The government passed a law to reduce the number of hours worked, in an effort to reduce unemployment.",passed,reduce,0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0,intend
7,7," ,The government has implemented a series of reforms to promote gender equality and reduce gender-based violence.",promote,reduce,0 0 0 0 0 0 0 0 0 0 0 intention 0 0 0 effect 0 0 0 0 0,intend
8,8,",The government has implemented a series of reforms to promote environmental protection and reduce pollution.",promote,reduce,0 0 0 0 0 0 0 0 0 0 intention 0 0 0 effect 0 0,intend
9,9,",The government has implemented a series of reforms to promote public health and reduce the spread of disease.",promote,reduce,0 0 0 0 0 0 0 0 0 0 intention 0 0 0 effect 0 0 0 0 0,intend
10,10,",The government has implemented a series of reforms to promote public safety and reduce crime.",promote,reduce,0 0 0 0 0 0 0 0 0 0 intention 0 0 0 effect 0 0,intend
11,11,",The government has implemented a series of reforms to promote access to healthcare and reduce health disparities.",promote,reduce,0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 effect 0 0 0,intend
12,12,",The government has implemented a series of reforms to promote access to housing and reduce homelessness.",promote,reduce,0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 effect 0 0,intend
