,context,triplets
0,"The official said the central archaeological council had ""unanimously"" approved the shoots.",<triplet> council <subj> shoots <obj> enable
1,The International Monetary Fund has also approved a loan package to help the country's economy recover from the effects of the global financial crisis.,<triplet> loan <subj> recover <obj> enable
2,"The government has implemented a series of measures to prevent the exploitation of workers, including minimum wage laws and the enforcement of labor rights.",<triplet> laws <subj> Exploitation <obj> prevent
3,"That would be a huge problem if it were to continue, because Unisys is betting its business on the assumption that customers want to move away from using operating systems that run on only one manufacturer's equipment and toward systems -- mainly Unix -- that work on almost anyone's machines.    ",<triplet> betting <subj> problem <obj> cause
4,"The Canadian government has announced a new program to help low-income families with the cost of medical care, providing up to $500 per year in assistance for those who qualify.",<triplet> program <subj> help <obj> enable
5,The United States has imposed tariffs on Chinese imports in an effort to protect American businesses from unfair competition.,<triplet> tariffs <subj> protect <obj> enable
6,The company has also announced that it will be investing in new educational programs to help its employees develop their skills and knowledge.,<triplet> investing <subj> develop <obj> enable
7,The United Nations has imposed an arms embargo on Sudan in an effort to prevent further violence and human rights abuses.,<triplet> Embargo <subj> Violence <obj> prevent
8,The United Nations has passed a resolution calling for an end to the use of chemical weapons in Syria.,<triplet> resolution <subj> end <obj> enable
9,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",<triplet> planned <subj> sell <obj> cause
10,The government has introduced a new bill to increase the minimum wage and provide more job security for workers.,<triplet> bill <subj> increase <obj> enable
11,"The government is introducing a new law to protect the rights of the disabled, in an effort to ensure access to services and equal opportunities.",<triplet> introducing <subj> ensure <obj> intend
12,The government has implemented a series of laws to protect the public from the spread of organized crime.,<triplet> Laws <subj> Spread of Organized Crime <obj> prevent
13,"Thomas Spiegel, Columbia's chairman, said in a statement that the thrift was "" disappointed"" by the effects of the accounting changes. ",<triplet> changes <subj> disappointed <obj> cause
14,The government has also announced that it will be investing in new housing initiatives to provide affordable housing for low-income families.,<triplet> investing <subj> housing <obj> enable
15,The government passed a law to increase funding for public education in an effort to improve educational outcomes.,<triplet> passed <subj> improve <obj> intend
16,The government has implemented a series of laws to prevent the abuse of animals.,<triplet> laws <subj> abuse <obj> prevent
17,"With The Temenos Banking Cloud, we empower banks to digitally transform and massively scale faster than ever.""",<triplet> cloud <subj> scale <obj> enable
18,The United Nations has imposed an arms embargo on certain countries in an effort to prevent the spread of illicit arms.,<triplet> Arms embargo <subj> Illicit arms <obj> prevent
19,"The government has taken steps to prevent the spread of disease, including introducing new laws to regulate public health.",<triplet> taken <subj> Disease <obj> prevent
20,"The government has implemented a series of measures to prevent the spread of corruption, including increased transparency and accountability.",<triplet> Measures <subj> Corruption <obj> prevent
21,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,<triplet> Economic sanctions <subj> Nuclear weapons <obj> prevent
22,The government has implemented a series of regulations to prevent companies from engaging in deceptive marketing practices.,<triplet> Regulations <subj> engaging <obj> prevent
