,Unnamed: 0,sentence,verb,trigger_1,trigger_2,tag,label
0,1,"""But the minute there's a new international arrest warrant from Italy, which was approved by the Supreme Federal Court of Brazil, the Brazilian federal police can no longer order the expulsion"" he explained.",approve,arrest,expulsion,0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,enable
1,7,Banks using The Temenos Banking Cloud have benefited from instant and massive scalability.,benefit,cloud,scalability,0 0 0 0 0 condition 0 0 0 0 0 0 effect 0,enable
2,9,We continue to rapidly grow our partner network and since 2020 have certified more than a thousand consultants as o9 implementers.,certify,network,implementers,0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,enable
3,11,It was a surprise move that could clear the way for a strong run by ultraconservative judiciary chief Ebrahim Raisi.,clear,move,run,0 0 0 0 condition 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,enable
4,13,"With The Temenos Banking Cloud, we empower banks to digitally transform and massively scale faster than ever.""",empower,cloud,scale,0 0 0 0 condition 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,enable
5,14,"The Sandbox includes access to Temenos Banking Services, Temenos MarketPlace, example data, and integration tools to enable banks to configure new products.",enable,Sandbox,configure,0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,enable
6,19,"Among individual companies, Amazon edged up 0.1 percent after announcing it would acquire the storied MGM studios for $8.45 billion, giving the US tech giant a vast library to further its ambitions in streaming.",give,acquire,ambitions,0 0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,enable
7,24,"Migrant workers in Lebanon have been hit hard by its multiple crises and half of them left jobless, the UN warned Wednesday, calling for voluntary returns to be scaled up.",leave,crises,jobless,0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
8,27,"Analysts greeted reports that Senate Republicans plan to lift their infrastructure package to $1 trillion, bringing them somewhat closer to President Joe Biden's latest offer costing $1.7 trillion.",lift,plan,offer,0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,enable
9,28,"This is the second time the fragmented centre-left opposition has failed to pass a no-confidence motion against him, their first attempt having fallen in February.",pass,opposition,motion,0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,enable
