,sentence,trigger1,trigger2,label
0,"""But the minute there's a new international arrest warrant from Italy, which was approved by the Supreme Federal Court of Brazil, the Brazilian federal police can no longer order the expulsion"" he explained.",arrest,expulsion,enable
1,Banks using The Temenos Banking Cloud have benefited from instant and massive scalability.,cloud,scalability,enable
2,We continue to rapidly grow our partner network and since 2020 have certified more than a thousand consultants as o9 implementers.,network,implementers,enable
3,It was a surprise move that could clear the way for a strong run by ultraconservative judiciary chief Ebrahim Raisi.,move,run,enable
4,"With The Temenos Banking Cloud, we empower banks to digitally transform and massively scale faster than ever.""",cloud,scale,enable
5,"The Sandbox includes access to Temenos Banking Services, Temenos MarketPlace, example data, and integration tools to enable banks to configure new products.",Sandbox,configure,enable
6,"Among individual companies, Amazon edged up 0.1 percent after announcing it would acquire the storied MGM studios for $8.45 billion, giving the US tech giant a vast library to further its ambitions in streaming.",acquire,ambitions,enable
7,"Migrant workers in Lebanon have been hit hard by its multiple crises and half of them left jobless, the UN warned Wednesday, calling for voluntary returns to be scaled up.",crises,jobless,enable
8,"Analysts greeted reports that Senate Republicans plan to lift their infrastructure package to $1 trillion, bringing them somewhat closer to President Joe Biden's latest offer costing $1.7 trillion.",plan,offer,enable
9,"This is the second time the fragmented centre-left opposition has failed to pass a no-confidence motion against him, their first attempt having fallen in February.",opposition,motion,enable
10,"The US State Department said it had been advised, including by public health professionals in Britain, that its health protocols ""would permit us to continue with our G7 activities as planned"".",protocols,activities,enable
11,"For students and educators, AWS will provide higher education institutions and their educators with cloud computing courses to prepare students to pursue industry-recognized certifications and careers in cloud. computing.",courses,careers,enable
12,It has been providing abundant opportunities to enhance competitive edge within the convergence industry centered around biotechnology.,opportunities,edge,enable
13,"The funds from our recent capital increase and these new innovation loans secure our financial situation for the foreseeable future, allowing us to focus confidently on the implementation of our scientific and commercial roadmap.",funds,roadmap,enable
14,"The Temenos Banking Cloud is powered by an Explainable AI engine with advanced data analytics, so banks can test, report and measure product performance, and gain insight to support business decisions and product design.",data analytics,decisions,enable
15,"At the same time the EASA said it did not believe the safety concern relating to the incident comprised an ""unsafe condition"" that would warrant a safety directive which would force airlines to comply.",directive,comply,enable
16,"But this list was accompanied by new demands which France's fisheries ministry has said were not arranged or discussed with Paris, effectively creating new zoning rules for the waters near Jersey.",demands,rules,enable
17,"Police are authorised to carry out random spot checks to ensure that quarantine rules are respected, with non-compliance punished with fines of up to 1,500 euros ($1,800).",checks,quarantine,enable
18,"Over 700 financial institutions use Temenos SaaS such as Al Ain Finance, Alpian, Flowbank, Flowe, Itau, Orange Bank and they will now benefit from all the new rich features of The Temenos Banking Cloud.",SaaS,cloud,enable
19,National electricity company spokesman Mostafa Rajabi Mashhadi said on Saturday that licensed cryptocurrency-mining farms had already voluntarily shut down operations to ease the burden.,operations,burden,enable
20,"Through this acquisition, Amazon would empower MGM to continue to do what they do best: great storytelling.""",acquisition,storytelling,enable
21,"Temenos software is proven to enable its top-performing clients to achieve cost-income ratios of 26.8% half the industry average and returns on equity of 29%, three times the industry average.",software,industry,enable
22,"The USB-IF facilitates the development of high-quality compatible USB devices through its logo and compliance program, and promotes the benefits of USB and the quality of products that have passed compliance testing.",USB-IF,compliance,enable
23,"We are putting banks in control of their business models and innovation cycles, giving them the agility and speed to build great customer products and profitable businesses.",control,businesses,enable
24,China's central bank also granted a $1.5 billion currency swap to finance imports from China in February as the rupee hit a record low of 202.73 to the dollar.,bank,finance,enable
25,Hyper-Personalized Recommendations will also help increase the matchmaking accuracy and enable companies to seize business opportunities effectively.,Hyper-Personalized,matchmaking,enable
26,"These clients also invest 51% of their IT budget on growth and innovation versus maintenance, which is double the industry average, proving the banks' IT investment is adding tangible value to their business.",clients,value,enable
27,"Facebook and Instagram on Wednesday announced plans to let users stop displaying ""like"" tallies racked up by posts, letting people opt out of seeking status through the approval of others.",plans,status,enable
28,"Switzerland will re-open indoor restaurants and people will no longer be required to work from home, the government announced Wednesday, saying it was lifting Covid restrictions faster than previously planned.",restrictions,re-open,enable
29,"The firm provides equity research, sales and trading, private and public capital raising as well as M&A services to help in the growth of companies and their investors.",services,growth,enable
30,"According to the indictment the Bolivians are accused ""of receiving bribes paid by a US company and individuals to secure a Bolivian government contract, and then using the US financial system to launder those bribes.""",bribes,contract,enable
31,"Varo Bank, using Temenos SaaS, estimates that it services customers at 25% of the total costs incurred by a traditional bank.",SaaS,bank,enable
32,The US top diplomat already met with Israeli and Palestinian leaders to throw Washington's support behind the Friday truce that ended 11 days of heavy Israeli bombing of Gaza and rocket fire from the enclave into Israel.,met,bombing,enable
33,"""The longer-term results from the ANDROMEDA study show sustained overall deep haematologic responses and further establish the potential of the subcutaneous formulation of daratumumab as a new treatment regimen in patients with AL amyloidosis, and I'm also encouraged to see additional investigational data showing cardiac and renal responses in these patients.""",results,treatment,enable
34,"The EMA is continuing to evaluate the safety of all four vaccines it has approved for use in the EU, which also includes the ones from BioNTech/Pfizer and Moderna.",safety,use,enable
35,"Tensions have eased between France and Rwanda since a March report acknowledged Paris was ""blind"" to the 1994 genocide in the east African nation, and bears overwhelming responsibility for the bloodshed.",report,bloodshed,enable
36,Britain has been hit hard by the coronavirus pandemic but has been able to ease lockdown measures in part thanks to a highly successful vaccination campaign.,campaign,lockdown,enable
37,"The company provides software solutions and services to over 450 service providers, ISVs, and enterprises worldwide to enable over 500 thousand virtual environments, running mission-critical cloud workloads.",services,workloads,enable
38,"""There are very specific entry and movement rules and procedures which the organisers have laid out in order to ensure the protection of everyone involved,"" she added.",rules,protection,enable
39,The Supreme Court statement was issued as Prime Minister Pedro Sanchez's government was gearing up to grant a pardon to the separatists as a way of advancing talks over the Catalan separatist crisis.,government,talks,enable
40,"   Chris Sozou, General Manager Platforms, Partnerships & Analytics, Virgin Money Australia, said:""Our digital bank has been designed with a clear ambition to simplify banking and help customers achieve their financial goals.",banking,goals,enable
41,"The stadium is one of a growing list of venues across Melbourne visited by positive cases, leaving state health officials rushing to test and trace across the city of five million, which endured a devastating four-month lockdown after an outbreak last year.",cases,test,enable
42,"If they beat Chelsea, City will have completed a memorable treble after clinching the Premier League title and lifting the League Cup earlier this season.",beat,treble,enable
43,The measure came into force as Chile passed the 50-percent mark of fully vaccinated adults -- over 7.7 million to date out a 15.2 million target population.,vaccinated,force,enable
44,"The report outlines Moody's ESG Solutions' framework for assessing biodiversity risk, which can provide a foundation for understanding the biodiversity risks of companies in investment and lending portfolios.",risk,investment,enable
45,"""We will continue to support our brothers in Palestine to reach a just and lasting solution by establishing their independent state.""",We,independent,enable
46,"""We're excited to partner with Amazon and bring our trusted platform to new markets, empowering customers to succeed from anywhere by leveraging Hyperforce and all the advantages of public cloud computing.""",platform,cloud,enable
47,"Building on Abu Dhabi's smart infrastructure and digital transformation, AWS's investment will further enable innovators and companies with globally-relevant solutions to realize new opportunities in the UAE and beyond.""",investment,opportunities,enable
48,"But policymakers will ""remain patient"" before tapping the breaks on stimulative policies, to ensure jobs recover and return to what the central bank considers full employment, Quarles said in a speech to The Brookings Institution.",policies,employment,enable
49,"In developing the concept for Future, Aptar's experts turned to recognized eco-design principles, which call for plastic dispensing products to be made from a mono-material to facilitate the recycling process.",mono-material,recycling,enable
50,"Amazon has agreed to buy the storied MGM studios for $8.45 billion, the companies said Wednesday, giving the US tech giant a vast library to further its ambitions in streaming.",buy,ambitions,enable
51,"""Once again we have turned to our friends in Portugal to help both UEFA and the Champions League and I am, as always, very grateful to the FPF and the Portuguese government for agreeing to stage the match at such short notice,"" said UEFA president Aleksander Ceferin.",Portugal,stage,enable
52,"Tools being added to the services will let users turn off ""like"" features on individual posts or all of them, according to Mosseri.",Tools,turn off,enable
53,"""Our analytics aim to provide transparency for the market on how businesses' operations may affect biodiversity, their dependency on natural systems, and to what extent companies are taking steps to mitigate these impacts across their value chains.""",analytics,biodiversity,enable
54,"There is concern that failing to secure the framework deal might rock Switzerland's relationship with the EU at a time when more than half of all Swiss exports go to the bloc, which all but surrounds the landlocked country.",failing,Switzerland's,enable
55,"""We are thrilled that the investment is approved and eager to leverage Kymeta's expertise in hybrid satellite and cellular connectivity solutions,"" said Youn Chul Kim, CEO of HSC.",investment,connectivity,enable
56,"US Secretary of State Antony Blinken said Wednesday that all aid would be ""administered in a way that benefits the Palestinian people -- not Hamas"", which Washington considers a terrorist group.",aid,palestinian,enable
57,"Through a strategic collaboration, AWS and Deloitte empower customers to transform their business and innovate faster by combining AWS technologies with Deloitte's deep industry experience.",collaboration,innovate,enable
58,The addition of the AWS Middle East (UAE) Region will enable local customers with data residency requirements to store their data in the UAE while also providing even lower latency across the country.,AWS,data,enable
59,"It gives Amazon the fabled Metro Goldwyn Mayer studios, an iconic name in Hollywood which has been through a series of ownership changes and bankruptcy in recent years.",It,studios,enable
60,"""Amazon will help preserve MGM's heritage and catalog of films, and provide customers with greater access to these existing works.",Amazon,MGM's,enable
61,A fragmented centre-left opposition failed to pass a no-confidence motion in the three-time premier in February.,fragmented,motion,enable
62,"  #COMPUTEXVirtual, the all-new smart online platform, will use AI and automation technology to create an exceptional digital journey for users by providing a personalized interactive experience.",experience,journey,enable
63,"The oil giant announced that Gregory Goff and Kaisa Hietala had secured enough votes to join ExxonMobil's board, along with several incumbent directors who were reelected.",oil giant,board,enable
64,"""We are focusing on creating a large, sustainable ecosystem where our o9 global organization will serve as an enabler of a much larger pool of skills and capabilities across partners, both consulting and technology.",organization,partners,enable
65,"The funding will support increased unit production, enhanced customer experience, and the ongoing development of Kymeta's next generation capabilities.",funding,capabilities,enable
66,"For now, that would mean ""no one would represent Myanmar at the Seventy-fourth World Health Assembly"", according to the proposal, which was approved by WHO member states without a vote Wednesday morning.",proposal,represent,enable
67,"After meeting with Prime Minister Benjamin Netanyahu, Blinken reiterated support for Israel's right to defend itself against rocket attacks by Gaza's Hamas rulers, adding that they must benefit from reconstruction aid.",support,aid,enable
68,The Oral-B iO's revolutionary technology removes 100% more plaque than a manual brush to give you that professional clean teeth every single day.,plaque,teeth,enable
69,"Those without permits, by comparison, have to print out a permission form every time they want to leave the house, which will allow them to go out for essential reasons only.",permission,out,enable
70,"""I don't know what really happened in front of me, but I came into the corner and saw some guys on the ground and I couldn't pass on the right side because I was next to another guy, so I didn't have any chances to avoid a crash.",ground,crash,enable
71,"Milan are set to secure his replacement, so the Lille goalkeeper Mike Maignan underwent a medical with the 'Rossoneri' on Tuesday ahead of a move from the newly-crowned French champions.",Milan,medical,enable
72,"Iran's candidate-vetting Guardian Council on Tuesday approved seven hopefuls to run in the June 18 poll to succeed Rouhani, a moderate who under the constitution must step down after his second consecutive term.",Council,run,enable
73,"His Excellency Mohammed Ali Al Shorafa, Chairman of the Abu Dhabi Department of Economic Development, said, ""AWS's expansion into the UAE is a testament to our rapidly growing innovation ecosystem that will benefit from access to the world's leading cloud platform and its advanced technologies and solutions.",ecosystem,technologies,enable
74,"We empower enterprises and software companies to (re)identify differentiation, accelerate solution development, and vigorously compete in today's digital economy.",We,compete,enable
75,Chelsea were given a Champions League final fitness boost on Wednesday as France midfielder N'Golo Kante and Senegal goalkeeper Edouard Mendy returned to training.,Chelsea,training,enable
76,"As part of the year-long partnership, Oral-B and Scientific American Custom Media are releasing a series of content, including educational resources from leading medical and dental researchers that will help readers better understand the connections between oral health and whole body health.",content,oral health,enable
77,"Ottawa has invested Can$36.5 million (US$30 million) over the past year to advance lunar and space technologies including micro-rovers, and to build a third-generation robotic arm dubbed Canadarm3.",Ottawa,technologies,enable
78,"The development is the latest step towards the 74-year-old Trump, who left the White House in January, possibly becoming the first ever ex-US leader to face criminal charges.",step,criminal,enable
79,The country has lifted nearly all virus-related restrictions and many Russians are refusing to wear masks on public transport and in other public places.,country,wear,enable
80,"He urged the Malian and French authorities ""to do everything to secure his freedom"".",authorities,freedom,enable
81,"""I want to make it clear on the floor of the house... that Pakistan, under the leadership of Imran Khan, will never allow any American base on its soil.""",Pakistan,American,enable
82,"With its restructuring plan approved by Norwegian and Irish courts, the company can now emerge from bankruptcy protection.",plan,bankruptcy,enable
83,"""The Mohammed Bin Rashid Space Centre has always sought to provide innovative solutions that benefit the scientific community.",sought,community,enable
84,"   -- A new adjustable voltage mode enabling a range from 15V to one of three maximum voltages (28V, 36V, or 48V) depending on the available power allowing the device being powered to request specific voltages to a 100 mV resolution.",mode,three,enable
85,"In the long term, Blinken evoked the ""possibility of resuming the effort to achieve a two-state solution, which we continue to believe is the only way to truly assure Israel's future as a Jewish and democratic state"".",solution,Israel's future,enable
86,"""Amazon will help preserve MGM's heritage and catalog of films, and provide customers with greater access to these existing works.",heritage,access,enable
87,"Greece's top archaeological advisory body Wednesday approved use of several key sites including the Acropolis for an upcoming shoot by French fashion house Dior, a culture ministry source said.",body,shoot,enable
88,"We recently moved our headquarters and research and development center to Abu Dhabi to benefit from its rapidly growing innovation hub, and with the new AWS Region, we are excited to see it thrive at an accelerated rate.""",center,innovation,enable
89,"""The 3.1 revision to the USB Power Delivery specification, which includes the capability to provide up to 48 V and 240 W of power, will help enable additional design opportunities for current and new users of USB Type-C technology,"" said Deric Waters, senior member of technical staff at Texas Instruments.",power,design,enable
90,"The company's confidence in its VzLinux distro has led to an in-house conversion of more than 200+ CentOS servers, ensuring Virtuozzo's infrastructure is future-proofed well beyond December 2021 when CentOS is slated for end-of-life.",VzLinux,future-proofed,enable
91,"Oral-B® was founded in 1950 by Dr. Robert Hutson, a California periodontist, who invented an innovative toothbrush to help his patients achieve healthier teeth and gums at home.",toothbrush,teeth,enable
92,Campenaerts' withdrawal leaves the South African team down to five riders with the race to finish in Milan on Sunday after the withdrawals of Italians Domenico Pozzovivo and Giacomo Nizzolo.,withdrawal,leaves,enable
93,This provides the perfect conditions for the bacteria to thrive and cause inflammation-causing toxins that are known to spread throughout the rest of the body.,This,toxins,enable
94,"Born in 1927, he enlisted in the military at 17, several months before the end of World War II, and five years later found himself serving in the Marines in the Korean War.",military,Marines,enable
95,"Lovell-Badge said while the ISSCR was not recommending a new time limit, it has called for public consultation and an ethical framework that could allow longer research on robust scientific grounds.",framework,scientific,enable
96,"The official said the central archaeological council had ""unanimously"" approved the shoots.",council,shoots,enable
97,"Amazon has agreed to buy the storied MGM studios for $8.45 billion, the companies said Wednesday, giving the US tech giant a vast content library to further its ambitions in streaming.",buy,ambitions,enable
98,"After a female stork was electrocuted on a power line, the inhabitants of a village in the Czech Republic decided to rally to help her partner and their four hatchlings in order to save them.",electrocuted,save,enable
99,"Britain's largely foreign-owned automotive sector was a big winner from the final Brexit agreement, which allows for tariff-free trade with the continent.",Brexit,trade,enable
100,"The new leadership team, employees, partners, customers and shareholders will all benefit under Herbert's leadership.",leadership,benefit,enable
101,"Applying these lessons will help ensure a more resilient post-pandemic business landscape.""",lessons,resilient,enable
102,"The pass, which can be downloaded on a person's mobile phone two weeks after receiving their second shot, gives the bearer permission to move about freely in cities under lockdown to go to the supermarket, pharmacy, or for open air exercise.",pass,permission,enable
103,"""It's far too much money for five birds but we are donating a large part to bird keepers in a centre near here to help animals in difficulty.",donating,animals,enable
104,"Italy's government said Wednesday it had passed an ""important step"" in negotiations with the European Commission to create a new, leaner airline from its beleaguered Alitalia carrier, Italian media reported.",step,airline,enable
105,"With the new region, organizations of all sizes will be able to innovate faster and serve end-users with even lower latency across the region.""",innovate,latency,enable
106,"The government of France has passed a law to increase the number of renewable energy sources, in an effort to reduce carbon emissions.",increase,reduce,intend
107,"The government of Germany has passed a law to increase the number of public parks and green spaces, in an effort to improve air quality.",increase,improve,intend
108,"The government of Japan has passed a law to increase the number of public safety measures, in an effort to reduce crime.",increase,reduce,intend
109,"The government of China has passed a law to increase the number of educational opportunities, in an effort to reduce inequality.",increase,reduce,intend
110,"The government of Brazil has passed a law to increase the number of job training programs, in an effort to reduce unemployment.",increase,reduce,intend
111,"The government of Mexico has passed a law to increase the number of public transportation options, in an effort to reduce traffic congestion.",increase,reduce,intend
112,"The government passed a law to reduce the number of hours worked, in an effort to reduce unemployment.",passed,reduce,intend
113,The government has implemented a series of reforms to promote gender equality and reduce gender-based violence.,promote,reduce,intend
114,The government has implemented a series of reforms to promote environmental protection and reduce pollution.,promote,reduce,intend
115,The government has implemented a series of reforms to promote public health and reduce the spread of disease.,promote,reduce,intend
116,The government has implemented a series of reforms to promote public safety and reduce crime.,promote,reduce,intend
117,The government has implemented a series of reforms to promote access to healthcare and reduce health disparities.,promote,reduce,intend
118,The government has implemented a series of reforms to promote access to housing and reduce homelessness.,promote,reduce,intend
119,The government has implemented a series of reforms to promote access to clean water and reduce water pollution.,promote,reduce,intend
120,The United Nations has launched a new campaign to combat poverty and inequality.,Campaign,Combat,intend
121,The president proposed a new tax plan to increase revenue and reduce the budget deficit.,Proposed,Increase,intend
122,The mayor announced a new initiative to improve public transportation in the city.,Announced,Improve,intend
123,The governor signed a bill to increase funding for public education.,Signed,Increase,intend
124,The legislature passed a law to protect the environment from pollution.,Passed,Protect,intend
125,The prime minister proposed a new trade agreement to open up markets and create jobs.,Proposed,Open,intend
126,"The government passed a law to increase the number of job training programs, in an effort to increase employment opportunities.",passed,increase,intend
127,"The government passed a law to increase the number of apprenticeships, in an effort to increase job skills.",apprenticeships,job skills,intend
128,"The government passed a law to increase the number of job placement services, in an effort to increase employment opportunities.",placement,employment,intend
129,"The government passed a law to increase the number of job fairs, in an effort to increase employment opportunities.",fairs,employment,intend
